super_category,category,category_icon,activity_en_new,activity_new_icon,index,tags
Discover,Art & Culture,palette,Antique Stores,clock,928,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Art,palette,928,"antique stores, art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,928,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Antique Stores,clock,11,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Art,palette,11,"antique stores, art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,11,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Antique Stores,clock,65,antique stores
Discover,Art & Culture,palette,Antique Stores,clock,1817,"antique stores, street markets"
Relax,Shopping,tag,Street Markets,tag,1817,"antique stores, street markets"
Discover,Art & Culture,palette,Antique Stores,clock,2713,"antique stores, department stores, gift shops"
Relax,Shopping,tag,Department Stores,tag,2713,"antique stores, department stores, gift shops"
Relax,Shopping,tag,Gift Shops,tag,2713,"antique stores, department stores, gift shops"
Discover,Art & Culture,palette,Antique Stores,clock,1553,antique stores
Discover,Art & Culture,palette,Antique Stores,clock,1860,"antique stores, gift shops"
Relax,Shopping,tag,Gift Shops,tag,1860,"antique stores, gift shops"
Discover,Art & Culture,palette,Antique Stores,clock,1931,antique stores
Discover,Art & Culture,palette,Antique Stores,clock,1949,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Art,palette,1949,"antique stores, art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,1949,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Art,palette,97,art
Discover,Art & Culture,palette,Art,palette,2217,"art, history museums"
Discover,History,landmark,History Museums,monument,2217,"art, history museums"
Others,Others,,Other activities,,2217,"art, history museums"
Discover,Art & Culture,palette,Art,palette,2941,art
Discover,Art & Culture,palette,Art,palette,1333,"art, points of interest"
Discover,Points of Interest,location-pin,Points of Interest,location-pin,1333,"art, points of interest"
Discover,Art & Culture,palette,Art,palette,37,art
Discover,Art & Culture,palette,Art,palette,1326,art
Discover,Art & Culture,palette,Art,palette,2176,"art, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2176,"art, theme parks"
Discover,Art & Culture,palette,Art,palette,600,"art, visitors centers, gift shops"
Discover,Visitors Centers,question,Visitors Centers,question,600,"art, visitors centers, gift shops"
Relax,Shopping,tag,Gift Shops,tag,600,"art, visitors centers, gift shops"
Discover,Art & Culture,palette,Art,palette,1649,art
Discover,Art & Culture,palette,Art,palette,2178,art
Discover,Art & Culture,palette,Art,palette,1973,art
Discover,Art & Culture,palette,Art,palette,3012,art
Discover,Art & Culture,palette,Art,palette,107,"art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,107,"art, gift shops"
Discover,Art & Culture,palette,Art,palette,1330,art
Discover,Art & Culture,palette,Art,palette,521,art
Discover,Art & Culture,palette,Art,palette,1569,art
Discover,Art & Culture,palette,Art,palette,2152,"art, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2152,"art, theme parks"
Discover,Art & Culture,palette,Art,palette,1533,art
Discover,Art & Culture,palette,Art,palette,2206,art
Discover,Art & Culture,palette,Art,palette,1437,art
Discover,Art & Culture,palette,Art,palette,2746,art
Discover,Art & Culture,palette,Art,palette,2135,"art, museums"
Discover,Art & Culture,palette,Museums,landmark,2135,"art, museums"
Discover,Art & Culture,palette,Art,palette,1346,art
Discover,Art & Culture,palette,Art,palette,96,art
Discover,Art & Culture,palette,Art,palette,3088,"art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,3088,"art, gift shops"
Discover,Art & Culture,palette,Art,palette,537,art
Discover,Art & Culture,palette,Art,palette,1819,art
Discover,Art & Culture,palette,Art,palette,108,art
Discover,Art & Culture,palette,Art,palette,1668,art
Discover,Art & Culture,palette,Art,palette,1948,"art, museums"
Discover,Art & Culture,palette,Museums,landmark,1948,"art, museums"
Discover,Art & Culture,palette,Art,palette,605,"art, coffeehouses"
Others,Others,,Other activities,,605,"art, coffeehouses"
Relax,Shopping,tag,Coffeehouses,mug-hot,605,"art, coffeehouses"
Discover,Art & Culture,palette,Art,palette,1320,"art, points of interest"
Discover,Points of Interest,location-pin,Points of Interest,location-pin,1320,"art, points of interest"
Discover,Art & Culture,palette,Art,palette,63,art
Discover,Art & Culture,palette,Art,palette,1331,art
Discover,Art & Culture,palette,Art,palette,2712,art
Discover,Art & Culture,palette,Art,palette,1700,art
Discover,Art & Culture,palette,Art,palette,551,art
Discover,Art & Culture,palette,Art,palette,2710,art
Discover,Art & Culture,palette,Art,palette,1555,"art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,1555,"art, gift shops"
Discover,Art & Culture,palette,Art,palette,93,art
Discover,Art & Culture,palette,Art,palette,2262,art
Discover,Art & Culture,palette,Art,palette,1344,art
Discover,Art & Culture,palette,Art,palette,1524,art
Discover,Art & Culture,palette,Art,palette,894,art
Discover,Art & Culture,palette,Art,palette,1953,"art, history museums"
Discover,History,landmark,History Museums,monument,1953,"art, history museums"
Discover,Art & Culture,palette,Art,palette,2621,art
Discover,Art & Culture,palette,Art,palette,2175,art
Discover,Art & Culture,palette,Art,palette,1337,art
Discover,Art & Culture,palette,Art,palette,1556,art
Discover,Art & Culture,palette,Art,palette,1523,art
Discover,Art & Culture,palette,Art,palette,2909,art
Discover,Art & Culture,palette,Art,palette,491,"art, points of interest, visitors centers"
Discover,Points of Interest,location-pin,Points of Interest,location-pin,491,"art, points of interest, visitors centers"
Discover,Visitors Centers,question,Visitors Centers,question,491,"art, points of interest, visitors centers"
Discover,Art & Culture,palette,Art,palette,101,art
Discover,Art & Culture,palette,Art,palette,1336,art
Discover,Art & Culture,palette,Art,palette,1324,art
Discover,Art & Culture,palette,Art,palette,1323,art
Discover,Art & Culture,palette,Art,palette,1329,art
Discover,Art & Culture,palette,Art,palette,110,art
Discover,Art & Culture,palette,Art,palette,95,art
Discover,Art & Culture,palette,Art,palette,1315,art
Discover,Art & Culture,palette,Art,palette,2938,"art, museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2938,"art, museums, history museums"
Discover,History,landmark,History Museums,monument,2938,"art, museums, history museums"
Discover,Art & Culture,palette,Art,palette,2159,"art, museums"
Discover,Art & Culture,palette,Museums,landmark,2159,"art, museums"
Discover,Art & Culture,palette,Art,palette,1968,art
Discover,Art & Culture,palette,Art,palette,2549,art
Discover,Art & Culture,palette,Art,palette,1338,art
Discover,Art & Culture,palette,Art,palette,1589,art
Discover,Art & Culture,palette,Art,palette,547,art
Discover,Art & Culture,palette,Art,palette,549,art
Discover,Art & Culture,palette,Art,palette,1334,art
Discover,Art & Culture,palette,Art,palette,2860,art
Discover,Art & Culture,palette,Art,palette,105,art
Discover,Art & Culture,palette,Art,palette,1311,art
Discover,Art & Culture,palette,Art,palette,109,art
Discover,Art & Culture,palette,Art,palette,1605,art
Discover,Art & Culture,palette,Art,palette,1319,art
Discover,Art & Culture,palette,Art,palette,1611,art
Discover,Art & Culture,palette,Art,palette,2215,art
Discover,Art & Culture,palette,Art,palette,1312,art
Discover,Art & Culture,palette,Art,palette,1588,art
Discover,Art & Culture,palette,Art,palette,111,art
Discover,Art & Culture,palette,Art,palette,1317,"art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,1317,"art, gift shops"
Discover,Art & Culture,palette,Art,palette,1322,art
Discover,Art & Culture,palette,Art,palette,580,art
Discover,Art & Culture,palette,Art,palette,1332,art
Discover,Art & Culture,palette,Art,palette,1554,art
Discover,Art & Culture,palette,Art,palette,534,art
Discover,Art & Culture,palette,Art,palette,1711,art
Discover,Art & Culture,palette,Art,palette,1731,"art, history museums"
Discover,History,landmark,History Museums,monument,1731,"art, history museums"
Discover,Art & Culture,palette,Art,palette,546,art
Discover,Art & Culture,palette,Art,palette,455,art
Discover,Art & Culture,palette,Art,palette,1963,art
Discover,Art & Culture,palette,Art,palette,2177,art
Discover,Art & Culture,palette,Art,palette,552,art
Discover,Art & Culture,palette,Art,palette,1970,art
Discover,Art & Culture,palette,Art,palette,211,art
Discover,Art & Culture,palette,Art,palette,1321,art
Discover,Art & Culture,palette,Art,palette,2180,art
Discover,Art & Culture,palette,Art,palette,1626,"art, museums"
Discover,Art & Culture,palette,Museums,landmark,1626,"art, museums"
Others,Others,,Other activities,,1626,"art, museums"
Discover,Art & Culture,palette,Art,palette,303,art
Others,Others,,Other activities,,303,art
Discover,Art & Culture,palette,Art,palette,1165,art
Discover,Art & Culture,palette,Art,palette,2907,"art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,2907,"art, gift shops"
Discover,Art & Culture,palette,Art,palette,1316,art
Discover,Art & Culture,palette,Art,palette,1339,art
Discover,Art & Culture,palette,Art,palette,1826,art
Discover,Art & Culture,palette,Art,palette,91,art
Discover,Art & Culture,palette,Art,palette,106,art
Discover,Art & Culture,palette,Art,palette,90,"art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,90,"art, gift shops"
Discover,Art & Culture,palette,Art,palette,1327,art
Discover,Art & Culture,palette,Art,palette,1342,art
Discover,Art & Culture,palette,Art,palette,1646,art
Discover,Art & Culture,palette,Art,palette,1488,art
Discover,Art & Culture,palette,Art,palette,1325,art
Discover,Art & Culture,palette,Art,palette,210,art
Discover,Art & Culture,palette,Educational sites,book-open-reader,2029,educational sites
Discover,Art & Culture,palette,Educational sites,book-open-reader,962,educational sites
Discover,Art & Culture,palette,Educational sites,book-open-reader,1152,"educational sites, museums"
Discover,Art & Culture,palette,Museums,landmark,1152,"educational sites, museums"
Discover,Art & Culture,palette,Educational sites,book-open-reader,2378,"educational sites, museums, gardens"
Discover,Art & Culture,palette,Museums,landmark,2378,"educational sites, museums, gardens"
Nature,Gardens,leaf,Gardens,leaf,2378,"educational sites, museums, gardens"
Discover,Art & Culture,palette,Educational sites,book-open-reader,1816,educational sites
Discover,Art & Culture,palette,Educational sites,book-open-reader,3117,educational sites
Discover,Art & Culture,palette,Educational sites,book-open-reader,964,"educational sites, gift shops, wineries & vineyards"
Relax,Shopping,tag,Gift Shops,tag,964,"educational sites, gift shops, wineries & vineyards"
Visit a farm,Wineries,wine-glass-empty,Wineries & Vineyards,wine-glass-empty,964,"educational sites, gift shops, wineries & vineyards"
Discover,Art & Culture,palette,Exhibitions,palette,18,exhibitions
Discover,Art & Culture,palette,Exhibitions,palette,2618,exhibitions
Others,Others,,Other activities,,2618,exhibitions
Discover,Art & Culture,palette,Museums,landmark,2151,museums
Discover,Art & Culture,palette,Museums,landmark,2161,museums
Discover,Art & Culture,palette,Museums,landmark,2184,"museums, history museums, military museums, air & helicopter tours"
Discover,History,landmark,History Museums,monument,2184,"museums, history museums, military museums, air & helicopter tours"
Discover,History,landmark,Military Museums,monument,2184,"museums, history museums, military museums, air & helicopter tours"
Get active,Adrenaline,parachute-box,Air & Helicopter Tours,helicopter,2184,"museums, history museums, military museums, air & helicopter tours"
Discover,Art & Culture,palette,Museums,landmark,543,"museums, history museums, points of interest"
Discover,History,landmark,History Museums,monument,543,"museums, history museums, points of interest"
Discover,Points of Interest,location-pin,Points of Interest,location-pin,543,"museums, history museums, points of interest"
Discover,Art & Culture,palette,Museums,landmark,899,"museums, boat tours"
Get active,Water Sports,sailboat,Boat Tours,sailboat,899,"museums, boat tours"
Discover,Art & Culture,palette,Museums,landmark,2189,museums
Discover,Art & Culture,palette,Museums,landmark,1536,museums
Discover,Art & Culture,palette,Museums,landmark,2188,museums
Discover,Art & Culture,palette,Museums,landmark,2187,"museums, zoos"
With kids,Zoo & Wildlife,hippo,Zoos,hippo,2187,"museums, zoos"
Discover,Art & Culture,palette,Museums,landmark,2195,museums
Discover,Art & Culture,palette,Museums,landmark,2171,"museums, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2171,"museums, theme parks"
Discover,Art & Culture,palette,Museums,landmark,2552,museums
Discover,Art & Culture,palette,Museums,landmark,2222,"museums, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2222,"museums, theme parks"
Discover,Art & Culture,palette,Museums,landmark,1575,"museums, history museums, military museums"
Discover,History,landmark,History Museums,monument,1575,"museums, history museums, military museums"
Discover,History,landmark,Military Museums,monument,1575,"museums, history museums, military museums"
Discover,Art & Culture,palette,Museums,landmark,1986,museums
Discover,Art & Culture,palette,Museums,landmark,2194,"museums, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2194,"museums, theme parks"
Discover,Art & Culture,palette,Museums,landmark,2169,museums
Discover,Art & Culture,palette,Museums,landmark,2210,"museums, historic sites, history museums, military museums"
Discover,History,landmark,Historic Sites,monument,2210,"museums, historic sites, history museums, military museums"
Discover,History,landmark,History Museums,monument,2210,"museums, historic sites, history museums, military museums"
Discover,History,landmark,Military Museums,monument,2210,"museums, historic sites, history museums, military museums"
Others,Others,,Other activities,,2210,"museums, historic sites, history museums, military museums"
Discover,Art & Culture,palette,Museums,landmark,2767,museums
Discover,Art & Culture,palette,Museums,landmark,2270,"museums, observatories & planetariums, whale watching"
With kids,Theme Parks,puzzle-piece,Observatories & Planetariums,star,2270,"museums, observatories & planetariums, whale watching"
With kids,Zoo & Wildlife,hippo,Whale Watching,otter,2270,"museums, observatories & planetariums, whale watching"
Discover,Art & Culture,palette,Museums,landmark,2193,museums
Discover,Art & Culture,palette,Museums,landmark,2150,museums
Discover,Art & Culture,palette,Museums,landmark,2190,"museums, history museums, fishing"
Discover,History,landmark,History Museums,monument,2190,"museums, history museums, fishing"
Relax,Fishing,fish,Fishing,fish,2190,"museums, history museums, fishing"
Discover,Art & Culture,palette,Museums,landmark,2915,"museums, boat tours"
Get active,Water Sports,sailboat,Boat Tours,sailboat,2915,"museums, boat tours"
Discover,Art & Culture,palette,Museums,landmark,969,"museums, history museums"
Discover,History,landmark,History Museums,monument,969,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,1018,museums
Discover,Art & Culture,palette,Museums,landmark,253,"museums, boat tours"
Get active,Water Sports,sailboat,Boat Tours,sailboat,253,"museums, boat tours"
Discover,Art & Culture,palette,Museums,landmark,2937,"museums, history museums"
Discover,History,landmark,History Museums,monument,2937,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,1709,museums
Discover,Art & Culture,palette,Museums,landmark,2156,museums
Discover,Art & Culture,palette,Museums,landmark,2155,"museums, cheese"
Visit a farm,Farms,cow,Cheese,cheese,2155,"museums, cheese"
Discover,Art & Culture,palette,Museums,landmark,2207,museums
Discover,Art & Culture,palette,Museums,landmark,492,museums
Discover,Art & Culture,palette,Museums,landmark,1977,museums
Discover,Art & Culture,palette,Museums,landmark,2221,museums
Discover,Art & Culture,palette,Museums,landmark,2020,"museums, history museums"
Discover,History,landmark,History Museums,monument,2020,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,1155,"museums, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,1155,"museums, theme parks"
Discover,Art & Culture,palette,Museums,landmark,2219,museums
Discover,Art & Culture,palette,Museums,landmark,2214,"museums, history museums"
Discover,History,landmark,History Museums,monument,2214,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,1429,"museums, beaches, gift shops, honey, whale watching"
Get active,Water Sports,sailboat,Beaches,person-swimming,1429,"museums, beaches, gift shops, honey, whale watching"
Relax,Shopping,tag,Gift Shops,tag,1429,"museums, beaches, gift shops, honey, whale watching"
Visit a farm,Farms,cow,Honey,apple-whole,1429,"museums, beaches, gift shops, honey, whale watching"
With kids,Zoo & Wildlife,hippo,Whale Watching,otter,1429,"museums, beaches, gift shops, honey, whale watching"
Discover,Art & Culture,palette,Museums,landmark,2992,"museums, boat tours"
Get active,Water Sports,sailboat,Boat Tours,sailboat,2992,"museums, boat tours"
Discover,Art & Culture,palette,Museums,landmark,1578,"museums, sightseeing, theme parks"
Discover,Points of Interest,location-pin,Sightseeing,location-pin,1578,"museums, sightseeing, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,1578,"museums, sightseeing, theme parks"
Discover,Art & Culture,palette,Museums,landmark,2203,"museums, history museums"
Discover,History,landmark,History Museums,monument,2203,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2204,museums
Discover,Art & Culture,palette,Museums,landmark,1189,"museums, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,1189,"museums, theme parks"
Discover,Art & Culture,palette,Museums,landmark,1343,museums
Discover,Art & Culture,palette,Museums,landmark,34,"museums, air & helicopter tours"
Get active,Adrenaline,parachute-box,Air & Helicopter Tours,helicopter,34,"museums, air & helicopter tours"
Discover,Art & Culture,palette,Museums,landmark,2212,museums
Discover,Art & Culture,palette,Museums,landmark,901,museums
Discover,Art & Culture,palette,Museums,landmark,2629,"museums, history museums"
Discover,History,landmark,History Museums,monument,2629,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2181,"museums, history museums"
Discover,History,landmark,History Museums,monument,2181,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,1676,museums
Discover,Art & Culture,palette,Museums,landmark,1952,museums
Discover,Art & Culture,palette,Museums,landmark,2164,museums
Discover,Art & Culture,palette,Museums,landmark,2182,museums
Discover,Art & Culture,palette,Museums,landmark,2160,museums
Discover,Art & Culture,palette,Museums,landmark,2154,museums
Discover,Art & Culture,palette,Museums,landmark,1959,"museums, history museums"
Discover,History,landmark,History Museums,monument,1959,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2167,"museums, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2167,"museums, theme parks"
Discover,Art & Culture,palette,Museums,landmark,1582,museums
Discover,Art & Culture,palette,Museums,landmark,518,"museums, history museums"
Discover,History,landmark,History Museums,monument,518,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,941,museums
Discover,Art & Culture,palette,Museums,landmark,1628,museums
Discover,Art & Culture,palette,Museums,landmark,1632,museums
Discover,Art & Culture,palette,Museums,landmark,2209,museums
Discover,Art & Culture,palette,Museums,landmark,512,museums
Discover,Art & Culture,palette,Museums,landmark,558,museums
Discover,Art & Culture,palette,Museums,landmark,2123,museums
Discover,Art & Culture,palette,Museums,landmark,484,"museums, whale watching"
With kids,Zoo & Wildlife,hippo,Whale Watching,otter,484,"museums, whale watching"
Discover,Art & Culture,palette,Museums,landmark,2186,museums
Discover,Art & Culture,palette,Museums,landmark,2153,"museums, history museums"
Discover,History,landmark,History Museums,monument,2153,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,1352,museums
Discover,Art & Culture,palette,Museums,landmark,2140,"museums, hiking"
Get active,Hiking,person-hiking,Hiking,person-hiking,2140,"museums, hiking"
Discover,Art & Culture,palette,Museums,landmark,2170,museums
Discover,Art & Culture,palette,Museums,landmark,1936,museums
Discover,Art & Culture,palette,Museums,landmark,3188,"museums, beaches"
Get active,Water Sports,sailboat,Beaches,person-swimming,3188,"museums, beaches"
Discover,Art & Culture,palette,Museums,landmark,2173,"museums, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2173,"museums, theme parks"
Discover,Art & Culture,palette,Museums,landmark,954,"museums, history museums"
Discover,History,landmark,History Museums,monument,954,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,1630,"museums, hiking, beaches, whale watching"
Get active,Hiking,person-hiking,Hiking,person-hiking,1630,"museums, hiking, beaches, whale watching"
Get active,Water Sports,sailboat,Beaches,person-swimming,1630,"museums, hiking, beaches, whale watching"
With kids,Zoo & Wildlife,hippo,Whale Watching,otter,1630,"museums, hiking, beaches, whale watching"
Discover,Art & Culture,palette,Museums,landmark,2272,"museums, natural history museums, nature parks"
Discover,History,landmark,Natural History Museums,mountain-sun,2272,"museums, natural history museums, nature parks"
Nature,Parks & Nature Parks,tree,Nature Parks,tree,2272,"museums, natural history museums, nature parks"
Discover,Art & Culture,palette,Museums,landmark,989,museums
Discover,Art & Culture,palette,Museums,landmark,3038,"museums, theme parks, zoos"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,3038,"museums, theme parks, zoos"
With kids,Zoo & Wildlife,hippo,Zoos,hippo,3038,"museums, theme parks, zoos"
Discover,Art & Culture,palette,Museums,landmark,458,museums
Discover,Art & Culture,palette,Museums,landmark,1976,museums
Discover,Art & Culture,palette,Museums,landmark,1399,museums
Discover,Art & Culture,palette,Museums,landmark,2196,"museums, waterfalls"
Nature,Waterfalls,shower,Waterfalls,shower,2196,"museums, waterfalls"
Discover,Art & Culture,palette,Museums,landmark,2199,museums
Discover,Art & Culture,palette,Museums,landmark,2163,"museums, history museums"
Discover,History,landmark,History Museums,monument,2163,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2218,"museums, history museums"
Discover,History,landmark,History Museums,monument,2218,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2211,"museums, history museums"
Discover,History,landmark,History Museums,monument,2211,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2977,"museums, history museums"
Discover,History,landmark,History Museums,monument,2977,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2185,"museums, history museums"
Discover,History,landmark,History Museums,monument,2185,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,1652,museums
Discover,Art & Culture,palette,Museums,landmark,1745,museums
Discover,Art & Culture,palette,Museums,landmark,2198,museums
Discover,Art & Culture,palette,Museums,landmark,285,museums
Discover,Art & Culture,palette,Museums,landmark,2165,museums
Discover,Art & Culture,palette,Museums,landmark,1019,"museums, cheese"
Visit a farm,Farms,cow,Cheese,cheese,1019,"museums, cheese"
Discover,Art & Culture,palette,Museums,landmark,1975,museums
Discover,Art & Culture,palette,Museums,landmark,2202,museums
Discover,Art & Culture,palette,Museums,landmark,2134,"museums, history museums"
Discover,History,landmark,History Museums,monument,2134,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2157,museums
Discover,Art & Culture,palette,Museums,landmark,1960,museums
Others,Others,,Other activities,,1960,museums
Discover,Art & Culture,palette,Museums,landmark,2191,"museums, history museums"
Discover,History,landmark,History Museums,monument,2191,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,3284,"museums, nature & wildlife areas, zoos"
With kids,Zoo & Wildlife,hippo,Nature & Wildlife Areas,paw,3284,"museums, nature & wildlife areas, zoos"
With kids,Zoo & Wildlife,hippo,Zoos,hippo,3284,"museums, nature & wildlife areas, zoos"
Discover,Art & Culture,palette,Museums,landmark,1727,museums
Discover,Art & Culture,palette,Museums,landmark,200,museums
Discover,Art & Culture,palette,Museums,landmark,1251,museums
Discover,Art & Culture,palette,Museums,landmark,1961,museums
Discover,Art & Culture,palette,Museums,landmark,2208,museums
Discover,Art & Culture,palette,Museums,landmark,2132,museums
Discover,Art & Culture,palette,Museums,landmark,1400,"museums, history museums"
Discover,History,landmark,History Museums,monument,1400,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,542,"museums, hiking"
Get active,Hiking,person-hiking,Hiking,person-hiking,542,"museums, hiking"
Discover,Art & Culture,palette,Museums,landmark,2200,"museums, nature parks, theme parks"
Nature,Parks & Nature Parks,tree,Nature Parks,tree,2200,"museums, nature parks, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2200,"museums, nature parks, theme parks"
Discover,Art & Culture,palette,Museums,landmark,2172,museums
Discover,Art & Culture,palette,Museums,landmark,1354,"museums, history museums"
Discover,History,landmark,History Museums,monument,1354,"museums, history museums"
Discover,Art & Culture,palette,Museums,landmark,2220,"museums, history museums, snowshoeing"
Discover,History,landmark,History Museums,monument,2220,"museums, history museums, snowshoeing"
Get active,Winter Sports,snowflake,Snowshoeing,snowflake,2220,"museums, history museums, snowshoeing"
Discover,Art & Culture,palette,Museums,landmark,2201,museums
Discover,Art & Culture,palette,Museums,landmark,1694,"museums, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,1694,"museums, theme parks"
Discover,Art & Culture,palette,Museums,landmark,2158,museums
Discover,Art & Culture,palette,Museums,landmark,2248,"museums, gift shops, theme parks"
Relax,Shopping,tag,Gift Shops,tag,2248,"museums, gift shops, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2248,"museums, gift shops, theme parks"
Discover,Art & Culture,palette,Museums,landmark,1164,"museums, history museums, hiking"
Discover,History,landmark,History Museums,monument,1164,"museums, history museums, hiking"
Get active,Hiking,person-hiking,Hiking,person-hiking,1164,"museums, history museums, hiking"
Discover,Art & Culture,palette,Operas & Symphonies,music,872,"operas & symphonies, theaters"
Discover,Art & Culture,palette,Theaters,masks-theater,872,"operas & symphonies, theaters"
Others,Others,,Other activities,,872,"operas & symphonies, theaters"
Discover,Art & Culture,palette,Operas & Symphonies,music,2296,operas & symphonies
Discover,Art & Culture,palette,Operas & Symphonies,music,1418,operas & symphonies
Discover,Art & Culture,palette,Operas & Symphonies,music,2297,operas & symphonies
Others,Others,,Other activities,,2297,operas & symphonies
Discover,Art & Culture,palette,Paint & Pottery Studios,palette,50,paint & pottery studios
Discover,Art & Culture,palette,Paint & Pottery Studios,palette,316,paint & pottery studios
Discover,Art & Culture,palette,Paint & Pottery Studios,palette,1558,paint & pottery studios
Discover,Art & Culture,palette,Paint & Pottery Studios,palette,3039,paint & pottery studios
Discover,Art & Culture,palette,Paint & Pottery Studios,palette,870,paint & pottery studios
Discover,Art & Culture,palette,Paint & Pottery Studios,palette,1930,paint & pottery studios
Others,Others,,Other activities,,1930,paint & pottery studios
Discover,Art & Culture,palette,Theaters,masks-theater,32,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,1551,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3061,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3060,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3075,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3071,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3053,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3083,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,453,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,896,theaters
Others,Others,,Other activities,,896,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,2836,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3070,"theaters, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,3070,"theaters, theme parks"
Discover,Art & Culture,palette,Theaters,masks-theater,3085,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,1779,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,1974,"theaters, points of interest"
Discover,Points of Interest,location-pin,Points of Interest,location-pin,1974,"theaters, points of interest"
Discover,Art & Culture,palette,Theaters,masks-theater,3054,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,1980,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3059,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,1675,theaters
Others,Others,,Other activities,,1675,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3084,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,60,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,1763,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,157,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3080,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,2303,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,407,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,3186,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,536,theaters
Others,Others,,Other activities,,536,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,2562,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,487,theaters
Discover,Art & Culture,palette,Theaters,masks-theater,606,theaters
