,dist_km,time_min,city,place_idx,name
86,246.685,140.3,Lévis,8,A Vol d'Oiseau
87,449.752,256.6833,Saguenay,8,A Vol d'Oiseau
88,119.459,70.7167,Trois-Rivières,8,A Vol d'Oiseau
89,8.711,11.1167,Terrebonne,8,A Vol d'Oiseau
90,50.54,37.7333,Montréal,9,A la Croisee des Pommes
91,291.127,161.75,Québec,9,A la Croisee des Pommes
92,33.543,27.3333,Laval,9,A la Croisee des Pommes
93,164.372,103.8833,Gatineau,9,A la Croisee des Pommes
94,57.16,46.4,Longueuil,9,A la Croisee des Pommes
95,200.208,120.0667,Sherbrooke,9,A la Croisee des Pommes
96,282.585,161.95,Lévis,9,A la Croisee des Pommes
97,491.183,278.95,Saguenay,9,A la Croisee des Pommes
98,160.89,92.9833,Trois-Rivières,9,A la Croisee des Pommes
99,44.89,31.0667,Terrebonne,9,A la Croisee des Pommes
100,159.685,103.8,Montréal,10,A la dRoute : Rallye et pique-nique gourmand
101,123.689,78.0167,Québec,10,A la dRoute : Rallye et pique-nique gourmand
102,173.132,107.1167,Laval,10,A la dRoute : Rallye et pique-nique gourmand
103,352.639,206.85,Gatineau,10,A la dRoute : Rallye et pique-nique gourmand
104,156.921,96.6167,Longueuil,10,A la dRoute : Rallye et pique-nique gourmand
105,94.746,73.2667,Sherbrooke,10,A la dRoute : Rallye et pique-nique gourmand
106,108.12,69.8333,Lévis,10,A la dRoute : Rallye et pique-nique gourmand
107,323.745,195.2167,Saguenay,10,A la dRoute : Rallye et pique-nique gourmand
108,69.936,48.8833,Trois-Rivières,10,A la dRoute : Rallye et pique-nique gourmand
109,170.001,104.9167,Terrebonne,10,A la dRoute : Rallye et pique-nique gourmand
110,58.549,44.0333,Montréal,11,A's - Secondemain Antique Gift Shop & Art Galery
111,309.474,179.8333,Québec,11,A's - Secondemain Antique Gift Shop & Art Galery
112,59.879,45.7167,Laval,11,A's - Secondemain Antique Gift Shop & Art Galery
113,156.123,95.0167,Gatineau,11,A's - Secondemain Antique Gift Shop & Art Galery
114,65.169,52.7,Longueuil,11,A's - Secondemain Antique Gift Shop & Art Galery
115,208.217,126.3667,Sherbrooke,11,A's - Secondemain Antique Gift Shop & Art Galery
116,293.905,171.65,Lévis,11,A's - Secondemain Antique Gift Shop & Art Galery
117,509.53,297.0333,Saguenay,11,A's - Secondemain Antique Gift Shop & Art Galery
118,184.617,111.5833,Trois-Rivières,11,A's - Secondemain Antique Gift Shop & Art Galery
119,73.978,53.8,Terrebonne,11,A's - Secondemain Antique Gift Shop & Art Galery
120,34.764,31.7167,Montréal,12,A.L.M. Par avion
121,225.485,125.4667,Québec,12,A.L.M. Par avion
122,48.211,35.0333,Laval,12,A.L.M. Par avion
123,227.718,134.7667,Gatineau,12,A.L.M. Par avion
124,32.0,24.5333,Longueuil,12,A.L.M. Par avion
125,145.629,86.4,Sherbrooke,12,A.L.M. Par avion
126,209.916,117.2833,Lévis,12,A.L.M. Par avion
127,425.541,242.6667,Saguenay,12,A.L.M. Par avion
128,137.63,84.5333,Trois-Rivières,12,A.L.M. Par avion
129,45.08,32.8333,Terrebonne,12,A.L.M. Par avion
130,28.181,27.3667,Montréal,13,A/Maze Pointe-Claire
131,279.106,163.1833,Québec,13,A/Maze Pointe-Claire
132,29.511,29.05,Laval,13,A/Maze Pointe-Claire
133,183.33,111.7333,Gatineau,13,A/Maze Pointe-Claire
134,34.801,36.05,Longueuil,13,A/Maze Pointe-Claire
135,177.849,109.7,Sherbrooke,13,A/Maze Pointe-Claire
136,263.537,155.0,Lévis,13,A/Maze Pointe-Claire
137,479.162,280.3833,Saguenay,13,A/Maze Pointe-Claire
138,154.249,94.9333,Trois-Rivières,13,A/Maze Pointe-Claire
139,43.61,37.1333,Terrebonne,13,A/Maze Pointe-Claire
140,23.608,21.0,Montréal,14,AMG Therapy
141,277.564,162.4833,Québec,14,AMG Therapy
142,29.798,29.75,Laval,14,AMG Therapy
143,188.218,112.7333,Gatineau,14,AMG Therapy
144,30.003,29.8333,Longueuil,14,AMG Therapy
145,173.051,103.4833,Sherbrooke,14,AMG Therapy
146,261.995,154.3,Lévis,14,AMG Therapy
147,477.62,279.6833,Saguenay,14,AMG Therapy
148,152.707,94.2333,Trois-Rivières,14,AMG Therapy
149,43.594,37.5833,Terrebonne,14,AMG Therapy
150,48.606,40.5667,Montréal,15,ASA Paintball
151,255.812,159.35,Québec,15,ASA Paintball
152,73.366,57.1667,Laval,15,ASA Paintball
153,244.114,149.2167,Gatineau,15,ASA Paintball
154,39.946,36.7667,Longueuil,15,ASA Paintball
155,133.482,85.15,Sherbrooke,15,ASA Paintball
156,240.243,151.1667,Lévis,15,ASA Paintball
157,455.868,276.55,Saguenay,15,ASA Paintball
158,186.351,114.7333,Trois-Rivières,15,ASA Paintball
159,77.544,58.2333,Terrebonne,15,ASA Paintball
160,479.767,277.1333,Montréal,16,ASTER - Organisme de Vulgarisation Scientifique
161,262.629,152.8833,Québec,16,ASTER - Organisme de Vulgarisation Scientifique
162,493.214,280.45,Laval,16,ASTER - Organisme de Vulgarisation Scientifique
163,672.721,380.1833,Gatineau,16,ASTER - Organisme de Vulgarisation Scientifique
164,477.003,269.95,Longueuil,16,ASTER - Organisme de Vulgarisation Scientifique
165,460.919,261.4333,Sherbrooke,16,ASTER - Organisme de Vulgarisation Scientifique
166,242.012,142.7167,Lévis,16,ASTER - Organisme de Vulgarisation Scientifique
167,236.207,214.0,Saguenay,16,ASTER - Organisme de Vulgarisation Scientifique
168,369.359,209.9167,Trois-Rivières,16,ASTER - Organisme de Vulgarisation Scientifique
169,490.362,276.5167,Terrebonne,16,ASTER - Organisme de Vulgarisation Scientifique
170,238.602,160.5333,Montréal,17,ASTROLab du parc national du Mont-Megantic
171,241.515,174.6333,Québec,17,ASTROLab du parc national du Mont-Megantic
172,263.362,177.1333,Laval,17,ASTROLab du parc national du Mont-Megantic
173,434.11,269.1833,Gatineau,17,ASTROLab du parc national du Mont-Megantic
174,229.942,156.7333,Longueuil,17,ASTROLab du parc national du Mont-Megantic
175,83.607,78.1667,Sherbrooke,17,ASTROLab du parc national du Mont-Megantic
176,226.459,167.6167,Lévis,17,ASTROLab du parc national du Mont-Megantic
177,441.571,291.8167,Saguenay,17,ASTROLab du parc national du Mont-Megantic
178,232.008,161.5667,Trois-Rivières,17,ASTROLab du parc national du Mont-Megantic
179,267.54,178.2,Terrebonne,17,ASTROLab du parc national du Mont-Megantic
180,1.121,5.4333,Montréal,18,AURA Experience
181,259.867,151.9,Québec,18,AURA Experience
182,31.867,31.9,Laval,18,AURA Experience
183,202.615,123.95,Gatineau,18,AURA Experience
184,8.95,17.3167,Longueuil,18,AURA Experience
185,155.943,95.0167,Sherbrooke,18,AURA Experience
186,244.298,143.7,Lévis,18,AURA Experience
187,459.923,269.0833,Saguenay,18,AURA Experience
188,141.669,92.8667,Trois-Rivières,18,AURA Experience
189,32.862,36.3833,Terrebonne,18,AURA Experience
190,46.971,38.2,Montréal,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
191,287.558,162.2167,Québec,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
192,29.974,27.8167,Laval,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
193,168.107,108.1167,Gatineau,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
194,53.591,46.8833,Longueuil,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
195,196.639,120.5333,Sherbrooke,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
196,279.016,162.4167,Lévis,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
197,487.614,279.4167,Saguenay,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
198,157.321,93.4667,Trois-Rivières,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
199,41.321,31.5333,Terrebonne,19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes
200,55.237,39.45,Montréal,20,Abbaye Cistercienne D'Oka
201,295.824,163.4667,Québec,20,Abbaye Cistercienne D'Oka
202,38.24,29.05,Laval,20,Abbaye Cistercienne D'Oka
203,160.266,105.6667,Gatineau,20,Abbaye Cistercienne D'Oka
204,61.857,48.1333,Longueuil,20,Abbaye Cistercienne D'Oka
205,204.905,121.7833,Sherbrooke,20,Abbaye Cistercienne D'Oka
206,287.282,163.6667,Lévis,20,Abbaye Cistercienne D'Oka
207,495.88,280.6667,Saguenay,20,Abbaye Cistercienne D'Oka
208,165.587,94.7,Trois-Rivières,20,Abbaye Cistercienne D'Oka
209,49.587,32.7833,Terrebonne,20,Abbaye Cistercienne D'Oka
210,52.115,44.25,Montréal,21,Abbaye Cistercienne de Rougemont
211,236.279,138.75,Québec,21,Abbaye Cistercienne de Rougemont
212,74.802,56.7167,Laval,21,Abbaye Cistercienne de Rougemont
213,247.623,152.9167,Gatineau,21,Abbaye Cistercienne de Rougemont
214,43.455,40.45,Longueuil,21,Abbaye Cistercienne de Rougemont
215,113.531,73.55,Sherbrooke,21,Abbaye Cistercienne de Rougemont
216,220.71,130.55,Lévis,21,Abbaye Cistercienne de Rougemont
217,436.335,255.9333,Saguenay,21,Abbaye Cistercienne de Rougemont
218,148.424,97.8,Trois-Rivières,21,Abbaye Cistercienne de Rougemont
219,71.671,54.5167,Terrebonne,21,Abbaye Cistercienne de Rougemont
220,96.684,76.5,Montréal,22,Abbaye Val Notre-Dame
221,227.358,137.1667,Québec,22,Abbaye Val Notre-Dame
222,97.759,70.4833,Laval,22,Abbaye Val Notre-Dame
223,267.965,163.1833,Gatineau,22,Abbaye Val Notre-Dame
224,103.389,75.9,Longueuil,22,Abbaye Val Notre-Dame
225,178.542,156.5333,Sherbrooke,22,Abbaye Val Notre-Dame
226,224.347,137.9833,Lévis,22,Abbaye Val Notre-Dame
227,427.414,254.3667,Saguenay,22,Abbaye Val Notre-Dame
228,97.121,68.4,Trois-Rivières,22,Abbaye Val Notre-Dame
229,80.251,58.4667,Terrebonne,22,Abbaye Val Notre-Dame
230,130.833,86.7667,Montréal,23,Abbey of Saint-Benoit-du-Lac
231,279.423,162.1,Québec,23,Abbey of Saint-Benoit-du-Lac
232,155.593,103.3667,Laval,23,Abbey of Saint-Benoit-du-Lac
233,326.341,195.4167,Gatineau,23,Abbey of Saint-Benoit-du-Lac
234,122.173,82.9667,Longueuil,23,Abbey of Saint-Benoit-du-Lac
235,58.426,45.3167,Sherbrooke,23,Abbey of Saint-Benoit-du-Lac
236,263.854,153.9167,Lévis,23,Abbey of Saint-Benoit-du-Lac
237,479.479,279.3,Saguenay,23,Abbey of Saint-Benoit-du-Lac
238,191.568,121.1667,Trois-Rivières,23,Abbey of Saint-Benoit-du-Lac
239,159.771,104.4333,Terrebonne,23,Abbey of Saint-Benoit-du-Lac
240,61.729,51.5167,Montréal,24,Abelha et Aristee
241,222.786,126.3833,Québec,24,Abelha et Aristee
242,62.804,45.4833,Laval,24,Abelha et Aristee
243,233.01,138.2,Gatineau,24,Abelha et Aristee
244,68.434,50.9167,Longueuil,24,Abelha et Aristee
245,217.338,130.8167,Sherbrooke,24,Abelha et Aristee
246,219.775,127.2,Lévis,24,Abelha et Aristee
247,422.842,243.5833,Saguenay,24,Abelha et Aristee
